saledate,productID,sale,volume
20141128,100,2386.4099,843.09601
20141129,100,4254.6499,1262.903
20141130,100,3533.1201,1015.128
20141201,100,2718.4399,787.94
20141202,100,3671.53,1201.8879
20141203,100,5064.1001,1432.946
20141204,100,5114.6001,1570.876
20141205,100,5493.2202,1501.806
20141206,100,6373.4902,1870.7469
20141207,100,5755.3398,1557.157
20141208,100,3886.52,971.125
20141209,100,4466.21,1139.349
20141210,100,4090.4099,1042.495
20141211,100,3982.0901,1121.3311
20141212,100,7857.3701,2407.355
20141213,100,8693.9902,2445.9441
20141214,100,6690.7603,1913.624
20141215,100,3625.28,977.46899
20141216,100,3429.5701,1044.939
20141217,100,6636.8301,2499.157
20141218,100,4055.5,1105.073
20141219,100,4575.6602,1332.203
20141220,100,7843.4199,2752.697
20141221,100,5592.8101,1522.79
20141222,100,3786.3799,1027.184
20141223,100,4348.5801,1590.967
20141224,100,4309.73,1167.3621
20141225,100,4651.2598,1257.879
20141226,100,6003.71,2444.177
20141227,100,4764.8799,1219.5649
20141228,100,3925.96,998.49701
20141229,100,6110.0298,2925.8569
20141230,100,3620.1001,822.56702
20141231,100,6273.5,1242.819
